2024-04-12 12:04:13.429 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen, wanx
2024-04-12 12:04:13.431 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-04-12 12:04:13.431 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-04-12 12:04:13.431 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240412-120410_9jh4lo/agentscope.db]
2024-04-12 12:04:13.438 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-12 12:04:13.440 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.call_counter] to SqliteMonitor with unit [times] and quota [None]
2024-04-12 12:04:13.443 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-12 12:04:13.444 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-12 12:04:13.445 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-12 12:04:13.445 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-12 12:04:13.446 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
imgmaker1: {'thought': 'The given text can be divided into five distinct sub-scenes.', 'scripts': ["Scene 1: The renowned novelist is discovered deceased within the confines of a library's study. The room exhibits no signs of forced entry or external disturbance, as all doors and windows are securely shut and devoid of any noticeable damage.", 'Scene 2: The novelist is depicted seated at his desk, his countenance twisted in agony, revealing the torment preceding his demise. His hand clutches a fountain pen tightly, symbolizing his unbroken connection to his literary craft even in the face of imminent death.', "Scene 3: On the desk lies an unfinished manuscript, its pages open and awaiting the novelist's final words. The pen rests upon the parchment, its ink still damp, hinting that the contents being written were intimately tied to the theme of his last completed work, perhaps serving as a chilling epilogue or unresolved narrative thread.", "Scene 4: Within the somber atmosphere of the study, a shattered vase catches attention, its fragments scattered amidst a bed of fallen rose petals. This disarray adds an element of emotional turmoil and possible conflict to the scene, suggesting a possible struggle or outburst preceding the novelist's tragic end.", "Scene 5: Concealed in a corner or discarded haphazardly on the floor lies a crumpled photograph. It reveals an image of the novelist in the company of an unfamiliar woman, her identity shrouded in mystery. This enigmatic figure fuels speculation about undisclosed aspects of the novelist's personal life and potentially holds the key to unraveling the circumstances surrounding his untimely death."]}
