2024-04-05 08:15:14.286 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:15:14.288 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-04-05 08:15:14.288 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-04-05 08:15:14.288 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240405-081513_vidgda/agentscope.db]
2024-04-05 08:15:14.290 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:14.290 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.call_counter] to SqliteMonitor with unit [times] and quota [None]
2024-04-05 08:15:14.291 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:15:14.292 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:15:14.293 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:15:14.293 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:14.293 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:14.294 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:14.294 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:14.295 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [49209] as the port number.
2024-04-05 08:15:14.295 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:14.296 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [49210] as the port number.
2024-04-05 08:15:14.296 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:14.297 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [49211] as the port number.
2024-04-05 08:15:14.297 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:14.297 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [49212] as the port number.
2024-04-05 08:15:14.304 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 08:15:14.304 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 08:15:14.304 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:15:14.304 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:15:14.306 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:14.306 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:14.307 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:14.307 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:29:41.153 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 08:29:41.153 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 08:29:41.153 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 08:29:41.154 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:29:41.154 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:29:41.154 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:29:41.155 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:29:41.155 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:29:41.155 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:29:41.157 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:224 - Starting rpc server [DictDialogAgent] at port [65530]...
2024-04-05 08:29:41.157 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:224 - Starting rpc server [DictDialogAgent] at port [65530]...
2024-04-05 08:29:41.157 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:224 - Starting rpc server [DictDialogAgent] at port [65530]...
2024-04-05 08:29:41.173 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:243 - rpc server [DictDialogAgent] at port [65530] started successfully
2024-04-05 08:29:41.173 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:243 - rpc server [DictDialogAgent] at port [65530] started successfully
2024-04-05 08:29:41.173 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:243 - rpc server [DictDialogAgent] at port [65530] started successfully
juge: {'词语1': '香蕉', '词语2': '芒果'}
juge: {'词语1': '香蕉', '词语2': '芒果'}
juge: {'词语1': '香蕉', '词语2': '芒果'}
